Sentence #,Word,Tag
Sentence: 0,Samplenr,O
,Seedlingnr,O
,Plot,O
,Record,O
,Date,O
,Planted_Species,O
,Density,B-Quality
,Treatment,B-Phenomena
,Dead,B-Quality
,Height_P,O
,Height_G,O
,Leaves_Liv,O
,Leaves_Dam,O
,Leaves_Dead,O
,Damage_pro,O
,Biomass_Above,O
,Biomass_Below,O
,List,O
,of,O
,headers,O
,of,O
,the,O
,data,O
,columns,O
,in,O
,this,O
,dataset,O
,Pilot,O
,experiment,O
,117.8998,O
,118.1483,O
,29.2852,O
,29.10178,O
,########,O
,########,O
,markus_ger,O
,erfmeier,O
,Common,O
,Garden,B-Environment
,Experiment,O
,:,O
,Seedling,B-Organism
,addition,O
,experiment,O
,-,O
,growth,B-Phenomena
,and,O
,biomass,B-Quality
,data,O
,While,O
,coexistence,O
,in,O
,plant,B-Environment
,communities,I-Environment
,is,O
,frequently,O
,explained,O
,by,O
,effects,O
,of,O
,resource,O
,niche,O
,partitioning,O
,",",O
,the,O
,Janzen-Connell,O
,(,O
,J-C,O
,),O
,hypothesis,O
,is,O
,an,O
,alternative,O
,approach,O
,that,O
,has,O
,been,O
,assumed,O
,as,O
,a,O
,major,O
,ecological,O
,mechanism,O
,explaining,O
,high,O
,species,B-Quality
,richness,I-Quality
,levels,O
,",",O
,in,O
,particular,O
,",",O
,in,O
,tropical,B-Environment
,forest,I-Environment
,ecosystems,I-Environment
,.,O
Sentence: 1,bottom,O
,board,O
,debris,O
,",",O
,frames,O
,",",O
,landing,O
,platforms,O
,),O
,",",O
,and,O
,isolates,O
,of,O
,microbes,O
,",",O
,parasites,O
,and,O
,pathogens,O
,from,O
,honey,B-Organism
,bees,I-Organism
,.,O
Sentence: 2,The,O
,most,O
,feasible,O
,areas,O
,for,O
,conservation,B-Phenomena
,were,O
,found,O
,in,O
,the,O
,Amazon,O
,and,O
,Andes,O
,regions,O
,",",O
,which,O
,encompass,O
,more,O
,undisturbed,O
,habitats,O
,",",O
,and,O
,already,O
,harbor,O
,most,O
,of,O
,the,O
,current,O
,reserves,O
,.,O
Sentence: 3,Invasions,B-Phenomena
,by,O
,ecosystem,B-Environment
,engineers,O
,",",O
,in,O
,particular,O
,",",O
,have,O
,been,O
,shown,O
,to,O
,have,O
,dramatic,O
,effects,O
,in,O
,recipient,O
,ecosystems,B-Environment
,.,O
Sentence: 4,This,O
,material,O
,may,O
,have,O
,promoted,O
,the,O
,presence,O
,of,O
,higher,O
,relative,O
,abundance,B-Quality
,of,O
,Ascomycota,B-Organism
,as,O
,well,O
,as,O
,higher,O
,microbial,O
,activity,O
,",",O
,which,O
,have,O
,proved,O
,to,O
,be,O
,essential,O
,for,O
,controlling,O
,the,O
,disease,O
,.,O
Sentence: 5,This,O
,was,O
,calculated,O
,by,O
,using,O
,the,O
,following,O
,functional,O
,groups,O
,:,O
,!,O
,!,O
,!,O
Sentence: 6,on,O
,the,O
,ground,B-Environment
,(,O
,area_neigh,O
,:,O
,area,B-Quality
,of,O
,circular,O
,plot,O
,of,O
,neighbour,O
,evaluation,O
,",",O
,used,O
,as,O
,area,B-Quality
,basis,O
,for,O
,determination,O
,of,O
,neighbour,O
,indices,O
,),O
,dimensionless,O
,real,O
,Projected,O
,area,B-Quality
,Projected,O
,area,B-Quality
,from,O
,a,O
,object,O
,(,O
,e.g,O
,.,O
Sentence: 7,Mass,O
,%,O
,of,O
,8,O
,grain,B-Quality
,size,I-Quality
,classes,I-Quality
,of,O
,fine,B-Matter
,earth,I-Matter
,<,O
,2,O
,mm,O
,from,O
,soil,B-Environment
,horizons,I-Environment
,of,O
,each,O
,soil,B-Quality
,profile,I-Quality
,per,O
,CSP,O
,.,O
Sentence: 8,Local,O
,species,B-Quality
,richness,I-Quality
,(,O
,i.e,O
,.,O
Sentence: 9,Bryophytes,B-Organism
,(,O
,dominating,O
,taxa,B-Organism
,in,O
,2013,O
,),O
,were,O
,determined,O
,to,O
,the,O
,species,B-Quality
,level,I-Quality
,",",O
,wherever,O
,possible,O
,and,O
,separated,O
,into,O
,mosses,B-Organism
,(,O
,Bischler-Causse,O
,",",O
,1989,O
,;,O
,Moos,B-Organism
,flora,I-Organism
,of,O
,China,B-Location
,:,O
,Gao,O
,et,O
,al.,O
,",",O
,1999,O
,;,O
,2001,O
,;,O
,2002,O
,;,O
,2003,O
,;,O
,2005,O
,;,O
,2007,O
,;,O
,2008,O
,;,O
,2011,O
,),O
,and,O
,liverworts,O
,(,O
,Zhu,O
,",",O
,2006,O
,;,O
,SÃƒÂ¶derstrÃƒÂ¶m,O
,et,O
,al.,O
,",",O
,2016,O
,and,O
,Alfons,O
,SchÃƒÂ¤fer-Verwimp,O
,",",O
,personal,O
,communication,O
,),O
,.,O
Sentence: 10,First,O
,",",O
,we,O
,built,O
,ecological,O
,niche,O
,models,O
,(,O
,ENMs,O
,),O
,for,O
,431,O
,amphibian,O
,species,B-Organism
,both,O
,for,O
